Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
80,98731702,9,350,350,0,38.88888889,116.6666667,5792,0,1932.5,2181.008184,120.9844433,0.151926886,7052264.429,26400000.0,98700000,1,98700000,12300000.0,34900000.0,98700000,1,38444,7688.8,11857.21068,27141,47,296,200,0.091156131,0.060770754,0,5792,746.5625,1578.947581,2493075.463,0,0,1,796.3333333,350,251,235,1,32,990.0,990,990,98700000.0,98700000,98700000,DoS
45748,50,2,12,6,6,6.0,0.0,2,2,2.0,0.0,320000.0,80000.0,16.66666667,14.571662,32,3,50,50.0,0.0,50,50,3,3.0,0.0,3,3,40,48,40000.0,40000.0,2,6,4.4,2.19089023,4.8,1,0,1,5.5,12,0,1024,1,20,0.0,0,0,0.0,0,0,Normal Traffic
53,180,2,90,45,45,45.0,0.0,61,61,61.0,0.0,1177777.778,22222.22222,60.0,19.92485885,83,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,64,64,11111.11111,11111.11111,45,61,51.4,8.76356092,76.8,0,0,0,64.25,90,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,30824,2,82,41,41,41.0,0.0,85,85,85.0,0.0,8175.447703,129.7690112,10274.66667,17794.51265,30822,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,64,40,64.88450558,64.88450558,41,85,58.6,24.09979253,580.8,0,0,0,73.25,82,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,309461,2,74,37,37,37.0,0.0,99,99,99.0,0.0,878.9475895,12.92569985,103153.6667,178664.7936,309458,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,64,64,6.462849923,6.462849923,37,99,61.8,33.95879857,1153.2,0,0,0,77.25,74,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,84559130,8,321,321,0,40.125,113.4906384,5792,0,1932.5,2181.008184,140.9191414,0.165564617,6504548.462,23400000.0,84400000,2,84400000,12100000.0,31900000.0,84400000,2,151448,30289.6,59545.78587,136183,46,264,200,0.094608353,0.070956265,0,5792,794.4,1621.910064,2630592.257,0,0,1,851.1428571,321,274,235,1,32,1012.0,1012,1012,84400000.0,84400000,84400000,DoS
443,61715159,18,2335,679,0,129.7222222,252.8993768,1460,0,561.3333333,658.0272657,201.5550183,0.583325079,1763290.257,3778763.827,9996047,38,61700000,3630303.471,4865653.588,10100000,174,61600000,3625107.765,4901695.731,10100000,48,372,364,0.29166254,0.29166254,0,1460,336.1891892,533.3604596,284473.3799,0,1,0,345.5277778,2335,8192,33950,11,20,277437.3333,1241242,84561,9948374.833,9996047,9800606,Normal Traffic
51572,230,2,280,274,6,140.0,189.5046174,6,6,6.0,0.0,1243478.261,13043.47826,115.0,49.49747468,150,80,230,230.0,0.0,230,230,0,0.0,0.0,0,0,40,20,8695.652174,4347.826087,6,274,140.0,154.7298721,23941.33333,0,0,1,186.6666667,280,60,0,1,20,0.0,0,0,0.0,0,0,Normal Traffic
443,60603154,14,668,341,0,47.71428571,103.148458,1460,0,403.2666667,580.0548578,110.8358156,0.478522949,2164398.357,4145008.989,10000000,49,60600000,4661781.077,5144800.825,10100000,21262,60600000,4325125.643,5105549.998,10100000,49,292,304,0.231011079,0.24751187,0,1460,223.9,447.8339709,200555.2655,0,1,0,231.6206897,668,8192,31088,9,20,137447.5,571770,50421,9957509.667,10000000,9749509,Normal Traffic
443,262546,6,356,212,0,59.3333333333,89.2248097037,1460,0,630.3333333333,677.217148828,15761.0475878513,45.7062762335,23867.8181818182,39821.8883400026,86063,42,262546,52509.2,47061.9663975062,88525,93,176587,35317.4,47172.0496300511,87957,49,132,132,22.8531381167,22.8531381167,0,1460,318.3076923077,533.9168762731,285067.230769231,0,1,0,344.8333333333,356,8192,60,5,20,0.0,0,0,0.0,0,0,Normal Traffic
53,60799,2,90,45,45,45.0,0.0,130,130,130.0,0.0,5756.6736295005,65.7905557657,20266.3333333333,35097.1228640374,60793,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,64,80,32.8952778829,32.8952778829,45,130,79.0,46.5564173879,2167.5,0,0,0,98.75,90,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,241,2,68,34,34,34.0,0.0,140,140,140.0,0.0,1443983.402,16597.51037,80.33333333,137.4093641,239,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,64,64,8298.755187,8298.755187,34,140,76.4,58.0585911,3370.8,0,0,0,95.5,68,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
51081,153,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19607.84314,76.5,40.30508653,105,48,0,0.0,0.0,0,0,48,48.0,0.0,48,48,32,64,6535.947712,13071.89542,0,0,0.0,0.0,0.0,0,0,1,0.0,0,269,65535,0,32,0.0,0,0,0.0,0,0,Normal Traffic
9090,58,1,2,2,2,2.0,0.0,6,6,6.0,0.0,137931.0345,34482.75862,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,17241.37931,17241.37931,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
53,23423,1,72,72,72,72.0,0.0,136,136,136.0,0.0,8880.1605259787,85.3861589036,23423.0,0.0,23423,23423,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,32,42.6930794518,42.6930794518,72,136,93.3333333333,36.9504172281,1365.3333333333,0,0,0,140.0,72,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
443,498012,9,562,201,0,62.44444444,82.68027442,1460,0,568.875,686.9292826,10266.82088,34.13572364,31125.75,51145.40327,176093,1,498012,62251.5,64084.7306,176204,49,368808,52686.85714,78790.97543,199299,3,192,172,18.07185369,16.06386995,0,1460,284.0555556,516.177064,266438.7614,0,1,0,300.7647059,562,8192,61,8,20,0.0,0,0,0.0,0,0,Normal Traffic
53,173,2,90,45,45,45.0,0.0,61,61,61.0,0.0,1225433.526,23121.38728,57.66666667,93.82075108,166,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,64,64,11560.69364,11560.69364,45,61,51.4,8.76356092,76.8,0,0,0,64.25,90,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,31020,1,57,57,57,57.0,0.0,138,138,138.0,0.0,6286.266925,64.47453256,31020.0,0.0,31020,31020,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,32,32.23726628,32.23726628,57,138,84.0,46.7653718,2187.0,0,0,0,126.0,57,-1,-1,0,40,0.0,0,0,0.0,0,0,Normal Traffic
55218,3,2,31,31,0,15.5,21.9203102168,0,0,0.0,0.0,10333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,64,0,666666.666666667,0.0,0,31,20.6666666667,17.8978583449,320.3333333333,0,0,1,31.0,31,62,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
443,141095,14,939,302,0,67.07142857,93.73240494,1410,0,462.1818182,585.8332217,42687.55094,177.1855842,5878.958333,11912.17813,34678,3,141095,10853.46154,15056.78979,36636,48,105959,10595.9,17582.67223,48070,3,292,232,99.22392714,77.96165704,0,1410,231.6538462,427.2555153,182547.2754,0,1,0,240.92,939,8192,123,13,20,0.0,0,0,0.0,0,0,Normal Traffic
80,5330388,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.750414416,1776796.0,3045716.509,5293623,81,5330388,2665194.0,3717159.94,5293623,36765,0,0.0,0.0,0,0,104,40,0.562810812,0.187603604,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,42408,0,32,0.0,0,0,0.0,0,0,Normal Traffic
443,116883998,19,1228,595,0,64.63157895,141.041448,3727,0,384.0833333,1057.404237,49.93840132,0.265220223,3896133.267,14800000.0,58300000,1,117000000,6493555.444,18800000.0,58300000,1,117000000,10600000.0,23600000.0,58300000,2,616,392,0.16255433,0.102665893,0,3727,182.40625,658.4956394,433616.5071,0,1,0,188.2903226,1228,29200,358,8,32,206645.5,335180,78111,58200000.0,58300000,58200000,Normal Traffic
53,161,2,70,35,35,35.0,0.0,67,67,67.0,0.0,1267080.745,24844.7205,53.66666667,90.35670054,158,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,64,64,12422.36025,12422.36025,35,67,47.8,17.52712184,307.2,0,0,0,59.75,70,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,119789955,55,74850,3804,0,1360.9090909091,1581.139746825,1479,0,159.1643835616,330.9556454714,721.8384880435,1.0685370071,943227.992125984,2254221.67022957,9994404,1,119789955,2218332.5,3041941.925262,10053540,84,119488989,1659569.29166667,2933723.38039404,10150949,1,1112,1468,0.4591369953,0.6094000119,0,3804,670.3023255814,1213.9792497496,1473745.61882268,0,1,0,675.5390625,74850,8192,65535,54,20,1646829.84615385,3820180,59012,7292729.53846154,9994404,5914467,Normal Traffic
63390,1091,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2749.770852,545.5,767.2108576,1088,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,64,32,1833.180568,916.5902841,0,0,0.0,0.0,0.0,0,0,1,0.0,0,124,65535,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,153,2,84,42,42,42.0,0.0,58,58,58.0,0.0,1307189.542,26143.79085,51.0,49.03060269,101,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,40,40,13071.89542,13071.89542,42,58,48.4,8.76356092,76.8,0,0,0,60.5,84,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
53,61341,1,44,44,44,44.0,0.0,103,103,103.0,0.0,2396.439575,32.60462007,61341.0,0.0,61341,61341,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,20,16.30231004,16.30231004,44,103,63.66666667,34.06366588,1160.333333,0,0,0,95.5,44,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
443,115238475,39,882,331,0,22.6153846154,61.5106389534,2920,0,1342.7777777778,1094.4934670865,532.0011393764,0.7289232177,1388415.36144578,3426636.75833113,10007100,3,115238475,3032591.44736842,4589830.6228972,10038389,3,110456167,2510367.43181818,4391725.60733841,10036730,48,792,1044,0.3384286368,0.3904945809,0,2920,721.2588235294,1033.8966761601,1068942.33697479,0,1,0,729.8452380952,882,8192,980,38,20,40478.2727272727,153864,28295,10001007.4545455,10007100,10000020,Normal Traffic
443,3537096,7,818,480,0,116.8571429,177.2149623,1852,0,725.125,764.6634063,1871.309119,4.240767002,252649.7143,565758.5911,2189707,2,3384961,564160.1667,800236.4909,2189707,151424,3385823,483689.0,875042.6975,2422872,2,152,172,1.979024601,2.261742401,0,1852,413.6875,624.2458617,389682.8958,0,1,0,441.2666667,818,8192,2053,6,20,0.0,0,0,0.0,0,0,Normal Traffic
18956,2,2,12,6,6,6.0,0.0,0,0,0.0,0.0,6000000.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,40,0,1000000.0,0.0,6,6,6.0,0.0,0.0,0,0,1,9.0,12,360,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
50994,2110,2,12,6,6,6.0,0.0,0,0,0.0,0.0,5687.2037914692,947.8672985782,2110.0,0.0,2110,2110,2110,2110.0,0.0,2110,2110,0,0.0,0.0,0,0,40,0,947.8672985782,0.0,6,6,6.0,0.0,0.0,0,0,1,9.0,12,30,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
54833,3,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,40,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,360,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
1034,50,1,2,2,2,2.0,0.0,6,6,6.0,0.0,160000.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,20000.0,20000.0,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Normal Traffic
443,5075999,8,390,209,0,48.75,77.1357801,1992,0,743.2,922.568805,808.9048087,2.561072215,422999.9167,1418175.771,4925985,4,5075999,725142.7143,1852617.576,4925985,4,70185,17546.25,17876.96321,35819,250,172,112,1.57604444,0.985027775,0,1992,293.2857143,621.5795547,386361.1429,0,1,0,315.8461538,390,8192,119,7,20,0.0,0,0,0.0,0,0,Normal Traffic
443,239695,1,6,6,6,6.0,0.0,37,37,37.0,0.0,179.3946474,8.343937087,239695.0,0.0,239695,239695,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,4.171968543,4.171968543,6,37,16.33333333,17.89785834,320.3333333,1,0,0,24.5,6,0,64,0,20,0.0,0,0,0.0,0,0,Normal Traffic
59964,216,2,31,31,0,15.5,21.92031022,0,0,0.0,0.0,143518.5185,13888.88889,108.0,46.66904756,141,75,216,216.0,0.0,216,216,0,0.0,0.0,0,0,40,20,9259.259259,4629.62963,0,31,15.5,17.89785834,320.3333333,0,0,1,20.66666667,31,110,0,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,199,2,94,47,47,47.0,0.0,98,98,98.0,0.0,1457286.432,20100.50251,66.33333333,108.8316743,192,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,64,64,10050.25126,10050.25126,47,98,67.4,27.93385043,780.3,0,0,0,84.25,94,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
54384,1,2,483,483,0,241.5,341.5325753,0,0,0.0,0.0,483000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,64,0,2000000.0,0.0,0,483,322.0,278.86018,77763.0,0,0,1,483.0,483,235,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,225,2,86,43,43,43.0,0.0,252,252,252.0,0.0,2622222.222,17777.77778,75.0,123.8426421,218,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,40,40,8888.888889,8888.888889,43,252,126.6,114.4740145,13104.3,0,0,0,158.25,86,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
